country,year,EUaid,CIRI,polity,educm,logexp,fdi,logimp,loggdpc,demregion,regime,region
Botswana,1990,2.505776644,11.5,7,2.700000048,4.255923748,1.509914994,3.782589436,7.628852844,0.045454547,3,Sub-Saharan Africa
Botswana,1993,1.80166316,12,7,3,3.97084856,-0.208307132,3.840073109,7.799067497,0.155555561,3,Sub-Saharan Africa
Botswana,1994,3.048532963,12,7.25,3.099999905,3.874934912,-0.037728254,3.727419376,7.799185276,0.177777782,3,Sub-Saharan Africa
Botswana,1991,2.367779016,11.25,7,2.799999952,4.081336975,1.368055582,3.831599236,7.720980644,0.045454547,3,Sub-Saharan Africa
Botswana,2001,1.595177412,10.75,8,4,3.887488127,0.652243495,3.66868639,8.032357216,0.148936167,3,Sub-Saharan Africa
Botswana,2002,0,10.75,8,4.099999905,3.962420702,0.925601542,3.516034603,8.07246685,0.170212761,3,Sub-Saharan Africa
Botswana,2003,0,10.75,8,4.199999809,3.883893967,0.366900176,3.479732037,8.091848373,0.191489369,3,Sub-Saharan Africa
Botswana,2004,0,10.75,8,4.300000191,3.858268976,6.799217224,3.580681801,8.164545059,0.212765962,4,Sub-Saharan Africa
Botswana,1992,2.208102226,11.75,7,2.900000095,4.008339882,2.529019833,3.90785265,7.756516457,0.06666667,3,Sub-Saharan Africa
Botswana,1997,1.278774023,11.5,8,3.5,3.930752993,1.475014687,3.639147997,7.817707539,0.191489369,3,Sub-Saharan Africa
Botswana,1998,4.135630131,11.25,8,3.599999905,3.992522478,1.482925773,3.633034468,7.848006725,0.191489369,3,Sub-Saharan Africa
Botswana,1995,2.454263687,12,7.5,3.200000048,3.852174282,-6.897330761,3.666430235,7.79049015,0.170212761,3,Sub-Saharan Africa
Botswana,1996,3.16039896,12,7.75,3.400000095,3.897481918,-0.326178521,3.657441854,7.799665928,0.191489369,3,Sub-Saharan Africa
Botswana,1999,3.338857889,11.25,8,3.700000048,4.029780865,1.932739854,3.722517967,7.92239809,0.170212761,3,Sub-Saharan Africa
Botswana,2000,2.830086946,10.75,8,3.799999952,3.889390707,1.836380482,3.759695768,8.001991272,0.170212761,3,Sub-Saharan Africa
Brazil,2002,4.110027313,12.25,8,5.699999809,2.300402164,5.084403038,2.463144779,8.215316772,0.611111104,2,Latin America and Caribbean
Brazil,1993,2.831551313,11.75,8,4.699999809,2.160672665,0.27078262,2.068626165,8.116360664,0.611111104,2,Latin America and Caribbean
Brazil,1991,1.886221766,11.75,8,4.400000095,2.189372778,0.265745401,1.69768095,8.179098129,0.5,2,Latin America and Caribbean
Brazil,1992,2.213007927,11.25,8,4.599999905,2.104132891,0.214091614,1.940433145,8.117898941,0.555555582,2,Latin America and Caribbean
Brazil,1995,3.258096457,12.5,8,4.900000095,2.351686716,0.294775605,2.207839727,8.125965118,0.611111104,2,Latin America and Caribbean
Brazil,1996,3.354454994,12.75,8,5,2.252660751,0.562397003,2.215023279,8.162671089,0.555555582,2,Latin America and Caribbean
Brazil,1989,1.944805026,12.25,8,4.199999809,2.247066498,0.397505313,1.823365092,8.184534073,0.555555582,2,Latin America and Caribbean
Brazil,1990,1.41594851,12,8,4.300000191,2.387681246,0.848675013,1.739156246,8.164794922,0.555555582,2,Latin America and Caribbean
Brazil,2004,2.932330847,12.25,8,6,2.645935297,3.290262938,2.532344818,8.227065086,0.666666687,2,Latin America and Caribbean
Brazil,2001,2.776453018,12.25,8,5.599999905,2.241887808,4.869277954,2.381031752,8.187517166,0.611111104,2,Latin America and Caribbean
Brazil,1997,3.419793606,12.75,8,5.099999905,1.981939912,0.631899655,2.171906948,8.190633774,0.5,2,Latin America and Caribbean
Brazil,1994,2.915487289,11.75,8,4.800000191,2.385845661,0.527694941,2.126455784,8.095808029,0.666666687,2,Latin America and Caribbean
Brazil,2000,3.353828907,12.5,8,5.5,1.936261177,3.781938553,2.189665079,8.199812889,0.666666687,2,Latin America and Caribbean
Brazil,1998,2.838895321,12.5,8,5.199999809,1.882017016,1.333836317,2.124187708,8.196609497,0.611111104,2,Latin America and Caribbean
Brazil,1999,2.866198301,12.5,8,5.400000095,1.919956326,2.255509615,2.199491262,8.214539528,0.666666687,2,Latin America and Caribbean
Brazil,2003,2.642682791,12.25,8,5.800000191,2.499913931,4.056733608,2.602460146,8.214377403,0.666666687,2,Latin America and Caribbean
Burkina Faso,2000,3.906757593,10.25,-0.75,1.200000048,2.550077915,0.157122225,3.33689642,5.32976675,0.191489369,4,Sub-Saharan Africa
Burkina Faso,1989,3.452112436,7.5,-6,0.699999988,2.429994345,0.05616197,3.33509779,5.13142252,0.06818182,4,Sub-Saharan Africa
Burkina Faso,2004,4.258235931,9.75,0,1.299999952,2.176545858,0.456769049,3.052907467,5.416079044,0.234042555,4,Sub-Saharan Africa
Burkina Faso,1992,3.6895504,8.75,-5,0.800000012,2.394862652,0.014832444,3.196873903,5.123018742,0.088888891,4,Sub-Saharan Africa
Burkina Faso,1993,4.211218357,9.5,-5,0.899999976,2.346367359,0.018181494,3.150540829,5.182402611,0.177777782,4,Sub-Saharan Africa
Burkina Faso,2003,4.081551075,9.5,0,1.299999952,2.223910332,0.313979208,3.140949965,5.398831844,0.212765962,4,Sub-Saharan Africa
Burkina Faso,1995,3.899433851,11,-4.5,1,2.191825867,0.136293173,3.028854609,5.164162159,0.191489369,4,Sub-Saharan Africa
Burkina Faso,1996,4.307302952,11.5,-4.25,1,2.653356075,0.969320357,3.219979286,5.149784088,0.212765962,4,Sub-Saharan Africa
Burkina Faso,1997,3.880061388,11,-3.75,1,2.649047136,0.412552387,3.281171083,5.177608967,0.212765962,4,Sub-Saharan Africa
Burkina Faso,1994,4.478103638,10.5,-4.75,0.899999976,2.180019617,0.138959125,2.9718256,5.157593727,0.200000003,4,Sub-Saharan Africa
Burkina Faso,2002,3.328386068,10,0,1.299999952,2.205725431,0.889328182,3.226359129,5.363052845,0.191489369,4,Sub-Saharan Africa
Burkina Faso,1999,4.126983643,10.75,-1.75,1.100000024,2.380705833,0.398984462,3.281057358,5.287329674,0.191489369,4,Sub-Saharan Africa
Burkina Faso,1990,2.901367664,7.75,-5.5,0.800000012,2.397777081,0.141814619,3.300676346,5.161135674,0.06818182,4,Sub-Saharan Africa
Burkina Faso,2001,3.631981134,10.25,0,1.200000048,2.253223419,0.262913465,3.178317547,5.372943878,0.170212761,4,Sub-Saharan Africa
Burkina Faso,1998,4.134262085,10.75,-2.75,1.100000024,2.357414722,0.627285421,3.31842041,5.254010201,0.212765962,4,Sub-Saharan Africa
Burkina Faso,1991,3.200431824,8.25,-5,0.800000012,2.168923616,0.216922954,3.16318965,5.155761242,0.06818182,4,Sub-Saharan Africa
Burundi,2002,4.004387379,6.25,4,2.799999952,2.04866457,1.647702694,2.992262363,4.720611572,0.191489369,2,Sub-Saharan Africa
Burundi,1989,3.589230061,3.5,-6,2,2.276744366,0.120879769,3.247992992,5.030382156,0.06818182,2,Sub-Saharan Africa
Burundi,1996,3.213260174,5.25,-3,2.400000095,2.32939887,0.000427861,3.349263906,4.930852413,0.212765962,4,Sub-Saharan Africa
Burundi,1997,2.361037254,5,-2,2.5,2.559267282,0.198107377,3.306090832,4.837546825,0.212765962,4,Sub-Saharan Africa
Burundi,1998,1.310102224,5,-0.75,2.5,1.7613554,1.15E-05,2.757056236,4.746177673,0.212765962,4,Sub-Saharan Africa
Burundi,1999,0,5,0,2.599999905,2.286006451,1.03E-05,2.669995785,4.723656654,0.191489369,3,Sub-Saharan Africa
Burundi,2000,0.83652246,5.75,1,2.700000048,2.079415321,0.223771021,2.967347145,4.762942791,0.191489369,3,Sub-Saharan Africa
Burundi,2001,2.208954811,5.75,2.5,2.700000048,2.024953365,0.029534344,2.770335436,4.74334383,0.170212761,2,Sub-Saharan Africa
Burundi,2003,3.462021351,6.5,5,2.900000095,1.925097704,0.001381813,3.039496899,4.721486092,0.212765962,2,Sub-Saharan Africa
Burundi,2004,3.703825235,7,5.75,3,1.81770575,0.000159211,3.105676889,4.741036892,0.234042555,2,Sub-Saharan Africa
Cambodia,1995,2.543026686,9,-0.75,4,2.776149511,2.1361413,3.48637104,5.350888252,0,3,East Asia and Pacific
Cambodia,1996,3.52694869,9.75,-0.5,4.099999905,3.250062704,2.468264341,3.655221224,5.407544136,0,3,East Asia and Pacific
Cambodia,1997,3.952176809,9.75,-0.25,4.099999905,3.439910889,4.382184982,3.841225863,5.441944122,0.222222224,3,East Asia and Pacific
Cambodia,1998,3.474217176,10,2,4.199999809,3.233331203,8.372553825,3.779578209,5.468937874,0.222222224,3,East Asia and Pacific
Cambodia,1999,3.457819223,10.25,2,4.300000191,3.515029907,5.915641785,3.813697815,5.499996185,0.222222224,3,East Asia and Pacific
Cambodia,2000,3.263885975,8.75,2,4.400000095,3.4416399,7.782007217,3.792818785,5.527262688,0.222222224,3,East Asia and Pacific
Cambodia,2001,3.18356967,8.25,2,4.5,3.70239234,6.602496624,3.982158899,5.619747639,0.222222224,3,East Asia and Pacific
Cambodia,2002,3.082715034,7.25,2,4.599999905,3.908942938,4.064238548,4.123309135,5.685511589,0.222222224,3,East Asia and Pacific
Cambodia,2003,3.200401068,7,2,4.599999905,3.962650061,3.753994942,4.115235329,5.746156693,0.222222224,3,East Asia and Pacific
Cambodia,2004,2.620481253,7.5,2,4.699999809,4.014978886,3.387381315,4.163105488,5.795715809,0.200000003,3,East Asia and Pacific
Cameroon,1989,3.694853783,4.25,-7,3.599999905,2.815064669,0.942298293,3.026554346,6.833365917,0.06818182,3,Sub-Saharan Africa
Cameroon,1993,4.932847977,4.75,-4,4.099999905,2.995676279,-0.116596594,2.683750629,6.516204834,0.177777782,3,Sub-Saharan Africa
Cameroon,1990,5.193461895,5,-6,3.799999952,2.774647474,0.739296854,2.770187855,6.722431183,0.06818182,3,Sub-Saharan Africa
Cameroon,1991,4.713930607,5,-5,3.900000095,3.030473471,-0.7696051,2.877480507,6.674846172,0.06818182,3,Sub-Saharan Africa
Cameroon,1992,4.922150135,4.5,-4,4,3.004836321,-1.011796951,2.851488352,6.583194733,0.088888891,3,Sub-Saharan Africa
Cameroon,2000,2.836008072,4.25,-4,5.099999905,3.064812422,2.233831167,2.873923302,6.428827763,0.191489369,3,Sub-Saharan Africa
Cameroon,2001,3.561398029,3.75,-4,5.199999809,3.068165064,-0.147748739,2.842829704,6.448834419,0.170212761,3,Sub-Saharan Africa
Cameroon,2002,3.599879026,3.75,-4,5.300000191,3.146432877,1.576191425,2.978666306,6.467095852,0.191489369,3,Sub-Saharan Africa
Cameroon,1999,3.345137835,5,-4,4.900000095,3.064707518,0.796049118,2.910168409,6.402963638,0.191489369,3,Sub-Saharan Africa
Cameroon,2004,3.94985652,5,-4,5.599999905,2.992401361,5.530869484,3.030937195,6.505000591,0.234042555,3,Sub-Saharan Africa
Cameroon,1996,3.99985075,5.75,-4,4.5,3.050251484,-0.097670622,2.82750392,6.345954418,0.212765962,3,Sub-Saharan Africa
Cameroon,1997,3.857966661,5.75,-4,4.699999809,3.160198927,0.08350201,2.878852367,6.352934837,0.212765962,3,Sub-Saharan Africa
Cameroon,2003,3.575957537,4,-4,5.5,3.087399483,0.763529122,3.144768953,6.488422871,0.212765962,3,Sub-Saharan Africa
Cameroon,1995,4.773696899,5,-4,4.400000095,2.783755064,0.037841231,2.745047092,6.397511959,0.191489369,3,Sub-Saharan Africa
Cameroon,1994,2.519634247,5,-4,4.300000191,3.022716045,0.256256372,2.90775156,6.457052231,0.200000003,3,Sub-Saharan Africa
Cameroon,1998,2.744601011,5.25,-4,4.800000191,3.15194273,1.041023374,2.911889076,6.377086639,0.212765962,3,Sub-Saharan Africa
Cape Verde,2004,2.96275878,12.5,10,4.199999809,3.448843718,2.402859926,4.220566273,7.150979519,0.212765962,1,Sub-Saharan Africa
Cape Verde,2003,2.647496223,12.25,10,4,3.411858082,1.656271935,4.154518127,7.123056412,0.191489369,1,Sub-Saharan Africa
Central African Republic,1989,3.66098094,4.5,-6.5,2.5,2.787097454,0.981931508,3.370070934,5.679791927,0.06818182,1,Sub-Saharan Africa
Central African Republic,1990,3.368481159,5.5,-3.5,2.599999905,2.725819588,-0.298345208,3.24453783,5.675866604,0.06818182,1,Sub-Saharan Africa
Central African Republic,1991,3.672368526,6.25,-0.5,2.700000048,2.824050903,0.101305693,3.259968758,5.674048424,0.06818182,1,Sub-Saharan Africa
Central African Republic,1992,2.808971405,6.5,2.25,2.799999952,2.692214966,0.046913944,3.318725824,5.629657269,0.088888891,1,Sub-Saharan Africa
Central African Republic,1993,3.196299314,6.75,5,2.900000095,2.528795481,-0.347073853,3.107472658,5.59980011,0.177777782,1,Sub-Saharan Africa
Central African Republic,1994,2.599559307,6.5,5,3,2.442643404,-0.74445188,3.182730913,5.508278847,0.200000003,1,Sub-Saharan Africa
Central African Republic,1995,3.291942596,6.25,5,3.099999905,2.638020992,-0.768383622,3.106027365,5.485827446,0.191489369,1,Sub-Saharan Africa
